ts_local,src_ip,alert_type,details
"2025-11-08 12:55:34",10.0.2.4,DoS-Suspected,"High packet rate: 20 pkts in last 2s"
"2025-11-08 12:55:34",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:34",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:34",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:34",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:33",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:31",10.0.2.4,DoS-Suspected,"High packet rate: 20 pkts in last 2s"
"2025-11-08 12:55:30",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:30",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,DoS-Suspected,"High packet rate: 20 pkts in last 2s"
"2025-11-08 12:55:29",185.125.190.82,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:29",10.0.2.4,DoS-Suspected,"High packet rate: 20 pkts in last 2s"
"2025-11-08 12:55:29",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:28",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:28",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:28",10.0.2.4,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:28",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:28",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
"2025-11-08 12:55:28",192.168.31.1,PortScan-Suspected,"Scanned 2 distinct dst ports in last 2s"
