id,ts_local,src_ip,src_port,dst_ip,dst_port,protocol,size
359,"2025-11-08 12:55:29",10.0.2.4,55598,91.189.91.81,80,TCP,270
360,"2025-11-08 12:55:29",104.236.0.104,443,10.0.2.4,52466,TCP,256
361,"2025-11-08 12:55:29",185.125.190.23,443,10.0.2.4,34932,TCP,60
362,"2025-11-08 12:55:30",10.0.2.4,34932,185.125.190.23,443,TCP,54
363,"2025-11-08 12:55:30",10.0.2.4,52466,104.236.0.104,443,TCP,54
364,"2025-11-08 12:55:30",91.189.91.81,80,10.0.2.4,55598,TCP,60
365,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,60
366,"2025-11-08 12:55:30",185.125.190.80,443,10.0.2.4,40124,TCP,2974
367,"2025-11-08 12:55:30",10.0.2.4,40124,185.125.190.80,443,TCP,54
368,"2025-11-08 12:55:30",185.125.190.80,443,10.0.2.4,40124,TCP,331
369,"2025-11-08 12:55:30",10.0.2.4,40124,185.125.190.80,443,TCP,54
370,"2025-11-08 12:55:30",10.0.2.4,40124,185.125.190.80,443,TCP,60
371,"2025-11-08 12:55:30",91.189.91.81,80,10.0.2.4,55598,TCP,348
372,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,1316
373,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,1514
374,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,54
375,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,54
376,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,511
377,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,54
378,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,60
379,"2025-11-08 12:55:30",10.0.2.4,55598,91.189.91.81,80,TCP,272
380,"2025-11-08 12:55:30",91.189.91.81,80,10.0.2.4,55598,TCP,60
381,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,60
382,"2025-11-08 12:55:30",185.125.190.80,443,10.0.2.4,40124,TCP,60
383,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,386
384,"2025-11-08 12:55:30",10.0.2.4,40124,185.125.190.80,443,TCP,383
385,"2025-11-08 12:55:30",91.189.91.81,80,10.0.2.4,55598,TCP,348
386,"2025-11-08 12:55:30",10.0.2.4,55598,91.189.91.81,80,TCP,54
387,"2025-11-08 12:55:30",185.125.190.80,443,10.0.2.4,40124,TCP,60
388,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,60
389,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,1033
390,"2025-11-08 12:55:30",185.125.190.80,443,10.0.2.4,40124,TCP,858
391,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,311
392,"2025-11-08 12:55:30",10.0.2.4,40124,185.125.190.80,443,TCP,54
393,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,60
394,"2025-11-08 12:55:30",91.189.91.47,443,10.0.2.4,58390,TCP,491
395,"2025-11-08 12:55:30",10.0.2.4,58390,91.189.91.47,443,TCP,54
396,"2025-11-08 12:55:31",10.0.2.4,58390,91.189.91.47,443,TCP,54
397,"2025-11-08 12:55:31",91.189.91.47,443,10.0.2.4,58390,TCP,60
398,"2025-11-08 12:55:31",91.189.91.47,443,10.0.2.4,58390,TCP,78
399,"2025-11-08 12:55:31",10.0.2.4,58390,91.189.91.47,443,TCP,54
400,"2025-11-08 12:55:33",10.0.2.4,39588,192.168.31.1,53,UDP,89
401,"2025-11-08 12:55:33",192.168.31.1,53,10.0.2.4,39588,UDP,137
402,"2025-11-08 12:55:33",10.0.2.4,52760,104.26.5.35,443,TCP,74
